        infile         10_40        150_40          1_80        250_80
             N &        1000 &        1000 &        1000 &        1000
     IntTransf &           0 &           0 &           0 &           0
       NormMax &        1000 &        1000 &        1000 &        1000
       nstage1 &           5 &           5 &           5 &           5
       nstagek &           5 &           5 &           5 &           5
      fRestart &           1 &           1 &           1 &           1
           __W &         200 &         200 &         200 &         200
    nmarkedmax &          10 &          10 &          10 &          10
      NSVCRuns &           7 &           7 &           7 &           7
           eps &       1e-08 &       1e-08 &       1e-08 &       1e-08
         eps_d &       1e-06 &       1e-06 &       1e-06 &       1e-06
         eps_z &       1e-08 &       1e-08 &       1e-08 &       1e-08
         peeps &       1e-07 &       1e-07 &       1e-07 &       1e-07
         bteps &       1e-15 &       1e-15 &       1e-15 &       1e-15
         bieps &       1e-15 &       1e-15 &       1e-15 &       1e-15
       timemax &        3600 &        3600 &        3600 &        3600
   ntimebreaks &           4 &          33 &           5 &           0
          %err &           0 &           0 &       0.008 &           0
          nopt &         996 &         967 &         979 &         964
          nadm &        1000 &        1000 &         992 &         964
   nstages_ave &       3.427 &      39.378 &      17.033 &       1.083
    nstagesmax &         305 &        1328 &         822 &          10
     nwithcuts &         636 &         879 &         877 &         644
      %simperr &           0 &           0 &           0 &           0
      norm_ave &      599.72 &      499.57 &       217.5 &      5.0414
   %withcycles &       0.006 &       0.178 &     0.14516 &     0.01556
       %Domin1 &     0.44754 &     0.32172 &     0.21672 &       0.165
       %Domin2 &     0.98651 &     0.95745 &     0.88829 &     0.61243
   %b&b-breaks &     0.50003 &    0.098846 &     0.18637 &  4.6849e-05
        nmirup &           0 &           0 &           0 &           0
          sg1m &      0.0344 &    0.022009 &     0.30167 &        0.36
          sg2m &    0.053214 &    0.041557 &     0.56918 &     0.63158
          tg1m &      0.0203 &    0.025253 &        0.29 &           0
          tg2m &    0.039039 &    0.045094 &     0.51786 &           0
          ag1m &      0.0344 &    0.025853 &     0.30167 &        0.36
          ag2m &    0.053214 &    0.046167 &     0.56918 &     0.63158
           sg1 &   0.0052798 &   0.0054739 &    0.010155 &    0.023466
           sg2 &   0.0090424 &   0.0093459 &    0.017745 &    0.039267
           tg1 &  5.3157e-05 &  0.00037747 &  0.00093844 &           0
           tg2 &   0.0001016 &  0.00065865 &   0.0016775 &           0
           ag1 &   0.0053336 &     0.00587 &     0.01116 &    0.023466
           ag2 &   0.0091453 &    0.010035 &    0.019547 &    0.039267
          snrp &           0 &       0.027 &     0.59274 &      2.0871
          tnrp &       0.005 &       0.033 &    0.092742 &           0
          anrp &       0.005 &        0.06 &     0.69052 &      2.0871
         snrpm &           0 &           1 &          30 &          36
         tnrpm &           2 &           1 &          29 &           0
         anrpm &           2 &           1 &          30 &          36
   lpbstepsmax &         797 &         384 &         744 &         227
    lpbtimemax &        9.63 &        1.63 &  3.9724e+05 &  4.1489e+05
   cutstimemax &      4146.7 &      3707.1 &  3.9724e+05 &  4.1489e+05
   cutstimeave &      48.814 &      273.73 &      3169.6 &       15413
       nsvcopt &         996 &         911 &         485 &         297
 nsvcsteps_ave &      5.5883 &      3.1877 &      1.6701 &        1.33
   nactive_ave &     0.36125 &      1.6348 &      1.1971 &      1.1724
    nactivemax &           5 &           8 &           6 &           4
  npresent_ave &       10.07 &      17.995 &      16.022 &      3.9703
   npresentmax &          51 &          89 &         132 &          13
     ncuts_ave &      17.135 &      196.74 &      83.047 &      3.5384
        TTbase &           1 &           1 &           1 &           1
           TML &         1.5 &         1.5 &         1.5 &         1.5
        TTKmax &          32 &          32 &          32 &          32
         nuns: &          -1 &          -1 &          -1 &          -1
             0 &         636 &         879 &         877 &         644
             1 &         636 &         877 &         641 &          54
             2 &         631 &         831 &         495 &           7
             3 &         590 &         772 &         410 &           0
             5 &         489 &         713 &         346 &           0
             7 &         410 &         644 &         279 &           0
            11 &         360 &         571 &         237 &           0
            17 &         295 &         499 &         202 &           0
            25 &         223 &         440 &         168 &           0
            38 &         157 &         388 &         148 &           0
            57 &         116 &         342 &         118 &           0
            86 &          75 &         275 &          99 &           0
           129 &          48 &         233 &          78 &           0
           194 &          33 &         190 &          56 &           0
           291 &          22 &         151 &          43 &           0
           437 &          16 &         130 &          33 &           0
           656 &          13 &          96 &          22 &           0
           985 &           9 &          78 &          15 &           0
          1477 &           8 &          59 &          10 &           0
          2216 &           5 &          47 &           6 &           0
          3325 &           4 &          33 &           5 &           0
          4987 &           0 &           0 &           0 &           0
          7481 &           0 &           0 &           0 &           0
         11222 &           0 &           0 &           0 &           0
         16834 &           0 &           0 &           0 &           0
         25251 &           0 &           0 &           0 &           0
         37876 &           0 &           0 &           0 &           0
         56815 &           0 &           0 &           0 &           0
         85222 &           0 &           0 &           0 &           0
        127834 &           0 &           0 &           0 &           0
        191751 &           0 &           0 &           0 &           0
        287626 &           0 &           0 &           0 &           0
    nnrp/nadm: &          -1 &          -1 &          -1 &          -1
             0 &       1.457 &       3.688 &      6.5161 &      8.1359
             1 &       1.457 &       3.683 &      3.7258 &     0.29979
             2 &       1.442 &       3.125 &      2.3085 &     0.05083
             3 &       1.345 &       2.077 &      1.6018 &           0
             5 &       1.117 &       1.472 &      1.1573 &           0
             7 &       0.874 &       1.053 &     0.88105 &           0
            11 &       0.706 &       0.808 &     0.72581 &           0
            17 &       0.469 &       0.637 &     0.56653 &           0
            25 &       0.311 &       0.515 &     0.46069 &           0
            38 &       0.202 &       0.434 &     0.40222 &           0
            57 &       0.138 &       0.378 &     0.33165 &           0
            86 &        0.08 &       0.291 &     0.28931 &           0
           129 &       0.053 &       0.243 &     0.25202 &           0
           194 &       0.036 &       0.197 &     0.18145 &           0
           291 &       0.025 &       0.155 &     0.12097 &           0
           437 &       0.019 &       0.134 &     0.10182 &           0
           656 &       0.015 &       0.098 &    0.077621 &           0
           985 &       0.011 &       0.079 &    0.017137 &           0
          1477 &        0.01 &        0.06 &    0.011089 &           0
          2216 &       0.007 &       0.048 &   0.0070565 &           0
          3325 &       0.006 &       0.033 &   0.0050403 &           0
          4987 &           0 &           0 &           0 &           0
          7481 &           0 &           0 &           0 &           0
         11222 &           0 &           0 &           0 &           0
         16834 &           0 &           0 &           0 &           0
         25251 &           0 &           0 &           0 &           0
         37876 &           0 &           0 &           0 &           0
         56815 &           0 &           0 &           0 &           0
         85222 &           0 &           0 &           0 &           0
        127834 &           0 &           0 &           0 &           0
        191751 &           0 &           0 &           0 &           0
        287626 &           0 &           0 &           0 &           0
     ng1/nadm: &          -1 &          -1 &          -1 &          -1
             0 &    0.017678 &    0.042144 &     0.07064 &    0.085511
             1 &    0.017678 &    0.042094 &     0.04107 &    0.003178
             2 &    0.017502 &    0.035859 &    0.025536 &  0.00051348
             3 &    0.016287 &    0.024699 &    0.017872 &           0
             5 &    0.013433 &    0.018111 &    0.012961 &           0
             7 &    0.010545 &    0.013359 &   0.0097633 &           0
            11 &   0.0085599 &    0.010413 &   0.0079863 &           0
            17 &   0.0058188 &   0.0082146 &   0.0062873 &           0
            25 &   0.0038866 &    0.006638 &   0.0050503 &           0
            38 &     0.00252 &   0.0055497 &   0.0043981 &           0
            57 &   0.0017102 &   0.0047868 &   0.0036075 &           0
            86 &   0.0010153 &   0.0036476 &   0.0031018 &           0
           129 &  0.00063933 &   0.0030147 &   0.0026728 &           0
           194 &  0.00044066 &   0.0023972 &   0.0019265 &           0
           291 &  0.00030579 &    0.001864 &   0.0012883 &           0
           437 &  0.00023868 &   0.0015976 &    0.001079 &           0
           656 &  0.00019786 &   0.0011686 &  0.00080467 &           0
           985 &  0.00015203 &  0.00091717 &  0.00018894 &           0
          1477 &  0.00014164 &   0.0007015 &   0.0001314 &           0
          2216 &  0.00010166 &  0.00056548 &   7.862e-05 &           0
          3325 &  6.3158e-05 &  0.00037747 &  5.7209e-05 &           0
          4987 &           0 &           0 &           0 &           0
          7481 &           0 &           0 &           0 &           0
         11222 &           0 &           0 &           0 &           0
         16834 &           0 &           0 &           0 &           0
         25251 &           0 &           0 &           0 &           0
         37876 &           0 &           0 &           0 &           0
         56815 &           0 &           0 &           0 &           0
         85222 &           0 &           0 &           0 &           0
        127834 &           0 &           0 &           0 &           0
        191751 &           0 &           0 &           0 &           0
        287626 &           0 &           0 &           0 &           0
     ng2/nadm: &          -1 &          -1 &          -1 &          -1
             0 &    0.030117 &    0.071299 &     0.11986 &     0.14034
             1 &    0.030117 &    0.071211 &    0.069646 &   0.0053387
             2 &    0.029817 &    0.060541 &    0.043532 &  0.00097622
             3 &     0.02771 &    0.041624 &    0.030648 &           0
             5 &    0.022983 &    0.030559 &    0.022403 &           0
             7 &    0.018105 &    0.023059 &    0.017028 &           0
            11 &    0.014623 &    0.017983 &    0.013825 &           0
            17 &   0.0099695 &    0.014176 &    0.010912 &           0
            25 &   0.0067404 &    0.011509 &   0.0087849 &           0
            38 &   0.0043372 &   0.0096309 &   0.0076257 &           0
            57 &   0.0029615 &   0.0083394 &   0.0062874 &           0
            86 &   0.0018333 &   0.0064427 &   0.0054798 &           0
           129 &   0.0011387 &   0.0053151 &   0.0047416 &           0
           194 &  0.00080446 &   0.0042236 &   0.0034252 &           0
           291 &  0.00056209 &   0.0033153 &   0.0023157 &           0
           437 &  0.00044541 &   0.0028423 &   0.0019381 &           0
           656 &  0.00036958 &   0.0020652 &   0.0014555 &           0
           985 &   0.0002841 &   0.0016251 &  0.00033235 &           0
          1477 &  0.00026553 &   0.0012328 &  0.00023767 &           0
          2216 &  0.00018959 &   0.0010008 &  0.00014551 &           0
          3325 &  0.00012084 &  0.00065865 &  0.00010702 &           0
          4987 &           0 &           0 &           0 &           0
          7481 &           0 &           0 &           0 &           0
         11222 &           0 &           0 &           0 &           0
         16834 &           0 &           0 &           0 &           0
         25251 &           0 &           0 &           0 &           0
         37876 &           0 &           0 &           0 &           0
         56815 &           0 &           0 &           0 &           0
         85222 &           0 &           0 &           0 &           0
        127834 &           0 &           0 &           0 &           0
        191751 &           0 &           0 &           0 &           0
        287626 &           0 &           0 &           0 &           0
